event_id,customer_id,event_timestamp,event_type,product_id
1,4246,2026-08-17 23:49:08.857416,page_view,205
2,3531,2025-09-13 06:55:43.089290,page_view,135
3,4803,2025-01-28 10:40:52.962322,purchase,310
4,3937,2026-03-18 11:03:19.323570,purchase,100
5,2480,2025-06-29 16:09:27.462075,add_to_cart,82
6,4522,2024-12-09 06:08:42.617991,purchase,119
7,8701,2024-10-04 02:58:00.524549,page_view,311
8,4710,2026-01-01 01:26:10.463983,add_to_cart,204
9,8193,2026-01-17 16:41:30.049914,page_view,422
10,167,2025-03-29 18:47:18.972930,purchase,105
11,5834,2025-07-17 22:18:52.690095,purchase,74
12,5679,2025-06-11 01:53:37.599839,product_view,135
13,1085,2025-06-25 10:12:41.836660,page_view,388
14,1019,2026-01-03 21:19:20.382477,purchase,13
15,8961,2025-07-18 09:34:37.033682,page_view,388
16,8081,2026-01-08 09:22:52.152189,add_to_cart,312
17,8244,2024-11-06 15:37:51.206229,product_view,323
18,7797,2024-12-15 07:25:37.744571,purchase,263
19,2147,2025-06-19 01:18:56.628530,purchase,210
20,6819,2026-08-04 14:42:13.357155,product_view,289
21,5905,2025-03-30 20:11:18.524155,purchase,384
22,3189,2024-12-15 04:44:35.331717,purchase,274
23,5625,2025-07-24 22:15:10.717773,purchase,21
24,3314,2025-07-26 04:32:38.018395,product_view,342
25,103,2025-10-25 18:26:57.383814,add_to_cart,406
26,973,2026-04-27 04:09:23.873984,page_view,3
27,3658,2024-10-19 21:25:11.674590,add_to_cart,247
28,2974,2025-09-02 19:50:22.949370,page_view,363
29,4144,2025-10-29 09:44:11.203997,purchase,449
30,34,2024-10-24 11:16:47.040262,add_to_cart,353
31,498,2025-01-18 02:14:11.504603,purchase,276
32,2139,2024-10-17 07:21:51.011751,add_to_cart,144
33,1999,2025-05-12 00:23:29.686885,product_view,119
34,2454,2025-01-29 09:36:21.620430,page_view,7
35,9786,2026-02-14 07:24:27.025475,purchase,50
36,6989,2025-02-11 08:51:30.153710,product_view,162
37,2046,2024-10-03 19:24:31.015783,product_view,60
38,8164,2025-10-28 11:12:03.127077,product_view,105
39,4073,2026-06-11 16:26:37.698244,page_view,34
40,1100,2025-06-02 10:15:29.914047,page_view,264
41,8326,2025-08-31 10:34:37.378167,add_to_cart,274
42,784,2024-11-16 10:50:05.091086,page_view,453
43,8545,2024-09-11 21:14:11.915869,page_view,360
44,6293,2025-06-23 09:11:00.161084,purchase,20
45,2603,2026-08-07 21:25:20.599565,purchase,143
46,9691,2024-11-26 14:56:05.176153,add_to_cart,209
47,3772,2024-12-07 13:43:06.911442,add_to_cart,5
48,163,2025-12-07 02:55:04.439263,add_to_cart,197
49,4118,2025-06-16 20:14:39.595845,page_view,479
50,2685,2026-07-07 05:37:33.822527,purchase,195
51,1404,2026-08-19 18:03:43.795270,product_view,411
52,4063,2025-01-19 06:16:17.891319,page_view,277
53,7965,2025-10-22 05:22:50.442522,page_view,20
54,2272,2025-09-03 14:39:24.934671,add_to_cart,140
55,1236,2026-04-14 17:51:14.170764,page_view,260
56,524,2025-02-10 19:48:31.171838,page_view,469
57,5747,2025-04-05 03:34:24.093348,product_view,55
58,1063,2024-11-28 01:23:16.614099,page_view,488
