order_item_id,order_id,product_id,quantity,unit_price
1,1,357,2,860.16
2,1,237,2,449.51
3,2,468,1,599.72
4,2,86,2,388.97
5,2,415,2,537.01
6,2,59,2,236.83
7,3,31,1,30.96
8,4,226,1,963.23
9,4,321,3,610.05
10,4,271,3,637.66
11,5,77,2,790.67
12,6,417,1,40.09
13,6,247,1,883.23
14,6,389,1,777.56
15,6,254,2,112.97
16,7,194,2,98.72
17,7,113,2,86.86
18,8,354,2,929.83
19,8,204,2,167.69
20,8,284,3,234.6
21,8,300,2,986.45
22,8,334,2,844.36
23,9,359,3,321.91
24,10,142,3,856.54
25,10,229,3,395.65
26,11,97,2,311.2
27,11,148,3,405.96
28,12,237,1,449.51
29,13,42,2,636.98
30,14,146,3,811.25
31,14,5,2,887.21
32,15,62,2,916.32
33,15,451,1,902.64
34,15,47,2,647.09
35,16,402,3,55.09
36,17,427,1,691.29
37,17,343,3,90.68
38,17,20,2,465.6
39,17,421,1,637.89
40,17,238,2,766.97
41,18,308,1,35.38
42,18,81,1,174.65
43,19,257,3,955.55
44,20,368,2,307.22
45,20,426,3,452.52
46,20,79,3,898.27
47,21,193,3,941.85
48,21,401,2,363.8
49,21,166,1,617.39
50,21,246,3,834.2
51,21,319,2,287.78
52,22,30,2,582.51
53,23,105,2,461.31
54,23,46,1,30.31
55,23,217,1,534.48
56,24,153,1,81.7
57,24,276,3,236.7
58,24,422,2,645.18
59,24,320,1,765.87
60,25,54,3,915.88
61,25,162,2,369.56
62,25,385,1,709.75
63,25,157,3,748.28
64,25,460,1,445.74
65,26,213,1,906.89
66,26,351,1,12.93
67,26,274,2,491.55
68,26,363,2,396.81
69,27,450,3,821.29
70,28,66,2,765.03
71,28,10,3,738.72
72,28,312,3,571.28
73,29,462,1,194.88
74,29,173,2,942.72
75,29,448,1,742.12
76,29,286,2,487.63
77,29,293,3,636.27
78,30,448,3,742.12
79,30,221,1,861.13
80,31,118,2,559.15
81,31,484,2,21.09
82,31,223,3,479.18
83,31,488,3,954.72
84,32,269,2,696.82
85,32,202,1,318.01
86,32,435,1,81.16
87,33,351,3,12.93
88,34,251,1,751.08
89,34,495,1,123.49
90,34,143,1,863.46
91,35,410,3,219.29
92,35,464,1,29.13
93,36,318,2,858.75
94,36,302,3,778.82
95,36,261,1,271.04
96,36,173,2,942.72
97,37,457,2,407.43
98,38,370,2,575.65
99,38,90,1,510.98
100,38,224,3,949.36
101,38,313,1,480.49
