order_id,customer_id,order_date,status
1,2060,2025-05-10,completed
2,1715,2025-11-14,pending
3,3267,2026-06-06,completed
4,9225,2024-11-22,completed
5,6821,2025-01-18,completed
6,5892,2026-05-01,completed
7,4092,2026-03-24,completed
8,9691,2026-05-14,cancelled
9,623,2025-02-17,completed
10,234,2024-10-11,completed
11,7403,2024-10-29,completed
12,1635,2026-02-06,completed
13,9377,2025-04-15,completed
14,5569,2025-08-24,completed
15,5146,2024-12-15,completed
16,2000,2026-06-21,completed
17,2780,2024-10-22,cancelled
18,6193,2026-01-19,completed
19,9844,2025-09-16,cancelled
20,7874,2026-03-21,completed
21,6417,2024-11-09,completed
22,4886,2026-07-18,completed
23,2613,2026-01-02,completed
24,1497,2026-01-03,completed
25,4767,2025-03-05,pending
26,9794,2024-10-11,completed
27,1996,2025-11-08,completed
28,8685,2025-06-17,completed
29,150,2025-01-25,completed
30,5335,2024-08-31,completed
31,4477,2025-02-28,completed
32,8487,2026-04-16,completed
33,9746,2025-12-23,completed
34,1947,2025-11-06,completed
35,6181,2025-09-05,completed
36,6375,2025-02-01,completed
37,8071,2025-04-10,completed
38,6154,2024-09-22,completed
39,3608,2026-05-21,completed
40,401,2026-08-03,completed
41,6043,2025-11-21,cancelled
42,363,2025-11-29,completed
43,3852,2025-02-13,completed
44,85,2025-02-15,completed
45,8500,2025-11-06,completed
46,8823,2026-05-24,completed
47,7869,2026-05-09,completed
48,2372,2024-11-02,completed
49,5822,2026-02-13,completed
50,7465,2025-05-05,pending
51,7122,2025-04-08,pending
52,8001,2025-03-14,completed
53,8015,2025-09-19,completed
54,3476,2025-06-16,cancelled
55,5154,2024-09-30,pending
56,2257,2025-12-24,completed
57,7320,2026-03-27,completed
58,7367,2026-02-11,completed
59,1859,2025-08-17,completed
60,2482,2025-04-22,completed
61,3159,2026-07-07,completed
62,3685,2026-04-11,completed
63,3652,2024-10-03,completed
64,7708,2024-12-13,completed
65,6882,2024-10-04,completed
66,4980,2026-05-12,completed
67,3776,2025-10-30,completed
68,649,2025-01-06,completed
69,17,2026-08-18,completed
70,6477,2026-01-23,completed
71,2694,2026-03-20,cancelled
72,4090,2024-09-05,completed
73,9469,2024-09-26,completed
74,3789,2025-06-22,completed
75,7021,2025-09-24,pending
76,8348,2026-03-27,completed
77,6652,2024-08-30,completed
78,4316,2025-01-24,completed
79,8309,2026-04-05,completed
80,1375,2025-08-28,cancelled
81,7394,2025-04-24,completed
82,3978,2024-12-17,completed
83,3412,2024-11-10,completed
84,3893,2025-02-19,completed
85,3250,2025-07-29,completed
86,683,2025-04-09,completed
87,2380,2026-04-11,pending
88,5427,2026-07-01,completed
89,3662,2026-05-15,completed
90,9749,2026-04-27,completed
91,7531,2026-06-15,completed
92,3108,2024-12-04,cancelled
93,2774,2025-05-23,completed
94,4769,2026-08-04,completed
95,1719,2025-01-21,completed
96,3831,2024-12-12,completed
97,2883,2024-11-15,completed
98,285,2025-06-18,completed
