payment_id,order_id,payment_date,amount,payment_method,payment_status
1,1,2026-04-30,2619.34,credit_card,failed
2,2,2025-10-25,2925.34,credit_card,completed
3,3,2026-06-14,30.96,paypal,completed
4,4,2026-04-08,4706.36,credit_card,completed
5,5,2025-03-27,1581.34,credit_card,completed
6,6,2025-04-16,1926.82,credit_card,completed
7,7,2025-11-24,371.16,credit_card,completed
8,8,2025-09-01,6560.46,bank_transfer,completed
9,9,2026-04-21,965.73,paypal,completed
10,10,2025-11-14,3756.57,credit_card,completed
11,11,2024-09-21,1840.28,paypal,completed
12,12,2025-10-21,449.51,credit_card,completed
13,13,2025-06-26,1273.96,credit_card,refunded
14,14,2025-04-23,4208.17,credit_card,completed
15,15,2025-04-18,4029.46,credit_card,completed
16,16,2024-12-24,165.27,bank_transfer,completed
17,17,2025-09-03,4066.36,paypal,completed
18,18,2025-01-03,210.03,credit_card,completed
19,19,2024-09-16,2866.65,credit_card,completed
20,20,2026-03-25,4666.81,credit_card,completed
21,21,2026-08-12,7248.7,bank_transfer,completed
22,22,2025-05-09,1165.02,credit_card,completed
23,23,2025-10-15,1487.41,credit_card,completed
24,24,2025-08-20,2848.03,credit_card,completed
25,25,2025-01-12,6887.09,credit_card,completed
26,26,2025-12-15,2696.54,credit_card,failed
27,27,2025-01-24,2463.87,credit_card,completed
28,28,2026-02-26,5460.06,credit_card,completed
29,29,2026-06-22,5706.51,paypal,completed
30,30,2025-06-09,3087.49,bank_transfer,completed
31,31,2025-06-13,5462.18,paypal,completed
32,32,2026-08-10,1792.81,credit_card,completed
33,33,2025-07-14,38.79,credit_card,completed
34,34,2025-03-17,1738.03,bank_transfer,completed
35,35,2026-02-06,687.0,paypal,completed
36,36,2026-07-17,6210.44,paypal,completed
37,37,2025-06-21,814.86,credit_card,completed
38,38,2025-12-12,7865.12,credit_card,completed
39,39,2026-02-01,638.72,credit_card,completed
40,40,2025-07-01,3513.93,credit_card,completed
41,41,2025-11-25,6293.09,credit_card,completed
42,42,2026-04-23,687.6,bank_transfer,failed
43,43,2026-07-31,739.12,credit_card,completed
44,44,2025-03-10,2951.6,bank_transfer,completed
45,45,2025-05-17,10526.88,credit_card,completed
46,46,2026-05-04,332.15,credit_card,completed
47,47,2025-11-25,2852.55,credit_card,completed
48,48,2025-03-09,3053.61,credit_card,completed
49,49,2025-04-23,2470.16,credit_card,completed
50,50,2024-11-13,6031.83,credit_card,completed
51,51,2025-10-31,6801.05,credit_card,completed
52,52,2026-07-14,2785.7,credit_card,completed
53,53,2026-03-20,438.34,credit_card,completed
54,54,2025-02-11,370.54,credit_card,completed
55,55,2025-01-24,6232.56,credit_card,completed
56,56,2026-03-22,2763.04,paypal,failed
57,57,2026-01-29,2198.6,credit_card,completed
58,58,2024-12-22,1022.87,credit_card,completed
59,59,2025-04-02,3294.98,credit_card,completed
60,60,2026-03-03,3449.94,credit_card,completed
61,61,2026-08-15,1964.46,credit_card,completed
62,62,2025-01-31,5883.53,credit_card,completed
63,63,2025-02-02,1601.49,paypal,completed
64,64,2024-12-11,3012.1,bank_transfer,completed
65,65,2026-08-16,3635.43,paypal,completed
66,66,2025-05-25,3086.22,paypal,completed
67,67,2026-07-30,3524.33,credit_card,completed
68,68,2024-12-10,5008.96,bank_transfer,completed
69,69,2025-11-11,12.43,bank_transfer,completed
70,70,2026-03-10,2278.3,paypal,completed
71,71,2024-10-17,4027.91,bank_transfer,completed
72,72,2024-09-30,2141.22,paypal,failed
73,73,2026-08-15,2874.95,credit_card,completed
74,74,2026-06-09,5692.71,paypal,completed
75,75,2026-07-14,3419.53,credit_card,completed
76,76,2026-01-14,1450.84,paypal,completed
77,77,2026-08-03,1618.91,paypal,completed
78,78,2025-03-17,671.26,credit_card,completed
79,79,2026-07-23,4431.69,credit_card,completed
80,80,2025-07-10,2876.26,credit_card,completed
81,81,2026-07-27,2860.74,credit_card,completed
82,82,2025-04-29,575.65,credit_card,completed
83,83,2024-12-28,6209.06,credit_card,completed
84,84,2025-07-04,274.04,credit_card,completed
85,85,2025-09-05,1903.03,paypal,completed
86,86,2025-08-22,1749.34,credit_card,completed
87,87,2024-11-19,1538.97,credit_card,refunded
88,88,2025-11-15,3308.13,credit_card,completed
89,89,2025-02-23,1732.98,credit_card,completed
90,90,2024-11-03,1500.99,credit_card,completed
91,91,2025-04-21,566.54,credit_card,completed
92,92,2026-08-18,4452.48,credit_card,completed
93,93,2026-02-02,794.78,credit_card,completed
94,94,2025-06-06,5988.0,credit_card,completed
95,95,2024-08-21,4853.22,credit_card,completed
96,96,2024-10-23,2325.28,paypal,completed
97,97,2026-02-19,2473.67,credit_card,completed
98,98,2025-11-09,5713.25,credit_card,completed
99,99,2025-04-26,7131.39,credit_card,completed
100,100,2025-06-14,473.66,credit_card,completed
101,101,2024-09-25,1364.32,credit_card,refunded
102,102,2025-08-20,4113.59,credit_card,completed
103,103,2026-06-01,4928.31,credit_card,refunded
104,104,2025-04-05,2235.58,paypal,refunded
105,105,2026-01-25,2348.16,paypal,failed
106,106,2026-05-13,6244.97,credit_card,completed
107,107,2026-02-03,2833.97,paypal,completed
108,108,2024-12-10,6313.22,credit_card,completed
109,109,2024-10-17,1677.33,credit_card,completed
110,110,2025-06-14,6192.36,paypal,completed
111,111,2025-05-22,237.34,paypal,failed
112,112,2026-07-13,1315.3,credit_card,completed
113,113,2025-03-26,2388.31,credit_card,completed
